"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de boissons (NAF rév. 2, niveau division, poste 11)";"Codes"
"idBank";"010767669";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"107.56";"A"
"2025-02";"97.47";"A"
"2025-01";"96.51";"A"
"2024-12";"100.47";"A"
"2024-11";"91.78";"A"
"2024-10";"89.64";"A"
"2024-09";"93.18";"A"
"2024-08";"90.14";"A"
"2024-07";"86.96";"A"
"2024-06";"91.55";"A"
"2024-05";"88.45";"A"
"2024-04";"93.43";"A"
"2024-03";"99.63";"A"
"2024-02";"100.69";"A"
"2024-01";"97.15";"A"
"2023-12";"93.07";"A"
"2023-11";"93.82";"A"
"2023-10";"92.89";"A"
"2023-09";"92.41";"A"
"2023-08";"92.16";"A"
"2023-07";"98.22";"A"
"2023-06";"97.06";"A"
"2023-05";"97.16";"A"
"2023-04";"98.42";"A"
"2023-03";"97.3";"A"
"2023-02";"100.03";"A"
"2023-01";"99.92";"A"
"2022-12";"96.81";"A"
"2022-11";"103.12";"A"
"2022-10";"103.43";"A"
"2022-09";"105.9";"A"
"2022-08";"108.22";"A"
"2022-07";"104.22";"A"
"2022-06";"106.51";"A"
"2022-05";"105.8";"A"
"2022-04";"104.29";"A"
"2022-03";"105.03";"A"
"2022-02";"103.39";"A"
"2022-01";"105.28";"A"
"2021-12";"106.88";"A"
"2021-11";"104.71";"A"
"2021-10";"102.84";"A"
"2021-09";"96.21";"A"
"2021-08";"98.19";"A"
"2021-07";"98.39";"A"
"2021-06";"106.93";"A"
"2021-05";"100.78";"A"
"2021-04";"95.49";"A"
"2021-03";"99.02";"A"
"2021-02";"93.71";"A"
"2021-01";"96.83";"A"
"2020-12";"93.68";"A"
"2020-11";"96.97";"A"
"2020-10";"96.39";"A"
"2020-09";"101.19";"A"
"2020-08";"100.73";"A"
"2020-07";"97.14";"A"
"2020-06";"91.53";"A"
"2020-05";"64.34";"A"
"2020-04";"60.49";"A"
"2020-03";"86.44";"A"
"2020-02";"98.95";"A"
"2020-01";"96.45";"A"
"2019-12";"100.43";"A"
"2019-11";"98.05";"A"
"2019-10";"95.57";"A"
"2019-09";"101.87";"A"
"2019-08";"98.06";"A"
"2019-07";"100.17";"A"
"2019-06";"98.7";"A"
"2019-05";"99.08";"A"
"2019-04";"101.74";"A"
"2019-03";"101.89";"A"
"2019-02";"102.86";"A"
"2019-01";"102.4";"A"
"2018-12";"99.67";"A"
"2018-11";"97.55";"A"
"2018-10";"102.5";"A"
"2018-09";"102.29";"A"
"2018-08";"105.51";"A"
"2018-07";"99.01";"A"
"2018-06";"102.54";"A"
"2018-05";"103.11";"A"
"2018-04";"101.06";"A"
"2018-03";"99.88";"A"
"2018-02";"101.32";"A"
"2018-01";"98.97";"A"
"2017-12";"95.9";"A"
"2017-11";"102.93";"A"
"2017-10";"100.85";"A"
"2017-09";"99.69";"A"
"2017-08";"103.32";"A"
"2017-07";"103.84";"A"
"2017-06";"104.23";"A"
"2017-05";"101.31";"A"
"2017-04";"100.8";"A"
"2017-03";"98.88";"A"
"2017-02";"100.09";"A"
"2017-01";"95.36";"A"
"2016-12";"101.89";"A"
"2016-11";"102.78";"A"
"2016-10";"101.63";"A"
"2016-09";"104.5";"A"
"2016-08";"101.62";"A"
"2016-07";"95.15";"A"
"2016-06";"94.02";"A"
"2016-05";"94.29";"A"
"2016-04";"96.29";"A"
"2016-03";"99.62";"A"
"2016-02";"98.76";"A"
"2016-01";"100.15";"A"
"2015-12";"104.93";"A"
"2015-11";"98.35";"A"
"2015-10";"94.27";"A"
"2015-09";"103.57";"A"
"2015-08";"99.31";"A"
"2015-07";"101.94";"A"
"2015-06";"99.86";"A"
"2015-05";"103.81";"A"
"2015-04";"100.54";"A"
"2015-03";"105.26";"A"
"2015-02";"96.77";"A"
"2015-01";"99.17";"A"
"2014-12";"100.04";"A"
"2014-11";"98.54";"A"
"2014-10";"97.25";"A"
"2014-09";"100.73";"A"
"2014-08";"94.5";"A"
"2014-07";"96.54";"A"
"2014-06";"96.72";"A"
"2014-05";"96.31";"A"
"2014-04";"97.25";"A"
"2014-03";"95.1";"A"
"2014-02";"97.97";"A"
"2014-01";"92.24";"A"
"2013-12";"93.19";"A"
"2013-11";"92.13";"A"
"2013-10";"91.79";"A"
"2013-09";"91.07";"A"
"2013-08";"96.68";"A"
"2013-07";"92.07";"A"
"2013-06";"87.5";"A"
"2013-05";"90.95";"A"
"2013-04";"95.7";"A"
"2013-03";"90.48";"A"
"2013-02";"91.72";"A"
"2013-01";"90.51";"A"
"2012-12";"102.38";"A"
"2012-11";"94.27";"A"
"2012-10";"96.49";"A"
"2012-09";"95.88";"A"
"2012-08";"97.5";"A"
"2012-07";"92.54";"A"
"2012-06";"92.26";"A"
"2012-05";"95.09";"A"
"2012-04";"94.16";"A"
"2012-03";"96.26";"A"
"2012-02";"94.36";"A"
"2012-01";"90.69";"A"
"2011-12";"95.57";"A"
"2011-11";"97.47";"A"
"2011-10";"97.72";"A"
"2011-09";"95.3";"A"
"2011-08";"89.94";"A"
"2011-07";"95.97";"A"
"2011-06";"95.39";"A"
"2011-05";"95.34";"A"
"2011-04";"92.91";"A"
"2011-03";"93.99";"A"
"2011-02";"94.24";"A"
"2011-01";"93.28";"A"
"2010-12";"91.38";"A"
"2010-11";"93.7";"A"
"2010-10";"90.12";"A"
"2010-09";"91.97";"A"
"2010-08";"92.0";"A"
"2010-07";"96.81";"A"
"2010-06";"88.44";"A"
"2010-05";"92.13";"A"
"2010-04";"90.92";"A"
"2010-03";"87.71";"A"
"2010-02";"86.6";"A"
"2010-01";"82.84";"A"
"2009-12";"87.33";"A"
"2009-11";"86.72";"A"
"2009-10";"87.58";"A"
"2009-09";"91.43";"A"
"2009-08";"84.52";"A"
"2009-07";"86.07";"A"
"2009-06";"85.67";"A"
"2009-05";"83.61";"A"
"2009-04";"80.29";"A"
"2009-03";"81.35";"A"
"2009-02";"76.77";"A"
"2009-01";"76.32";"A"
"2008-12";"88.08";"A"
"2008-11";"83.76";"A"
"2008-10";"85.71";"A"
"2008-09";"86.94";"A"
"2008-08";"86.57";"A"
"2008-07";"86.67";"A"
"2008-06";"81.19";"A"
"2008-05";"88.98";"A"
"2008-04";"88.84";"A"
"2008-03";"90.23";"A"
"2008-02";"92.05";"A"
"2008-01";"91.56";"A"
"2007-12";"88.45";"A"
"2007-11";"85.26";"A"
"2007-10";"97.52";"A"
"2007-09";"88.21";"A"
"2007-08";"88.24";"A"
"2007-07";"86.42";"A"
"2007-06";"92.93";"A"
"2007-05";"97.97";"A"
"2007-04";"94.96";"A"
"2007-03";"92.38";"A"
"2007-02";"97.4";"A"
"2007-01";"92.75";"A"
"2006-12";"91.67";"A"
"2006-11";"91.14";"A"
"2006-10";"91.05";"A"
"2006-09";"91.43";"A"
"2006-08";"95.09";"A"
"2006-07";"93.1";"A"
"2006-06";"94.12";"A"
"2006-05";"90.7";"A"
"2006-04";"88.32";"A"
"2006-03";"91.93";"A"
"2006-02";"85.82";"A"
"2006-01";"82.28";"A"
"2005-12";"89.29";"A"
"2005-11";"90.22";"A"
"2005-10";"82.3";"A"
"2005-09";"85.86";"A"
"2005-08";"89.26";"A"
"2005-07";"87.96";"A"
"2005-06";"83.91";"A"
"2005-05";"86.53";"A"
"2005-04";"85.59";"A"
"2005-03";"83.61";"A"
"2005-02";"85.64";"A"
"2005-01";"89.48";"A"
"2004-12";"87.94";"A"
"2004-11";"88.07";"A"
"2004-10";"85.13";"A"
"2004-09";"86.59";"A"
"2004-08";"83.5";"A"
"2004-07";"82.2";"A"
"2004-06";"88.56";"A"
"2004-05";"88.28";"A"
"2004-04";"88.78";"A"
"2004-03";"87.69";"A"
"2004-02";"89.53";"A"
"2004-01";"90.75";"A"
"2003-12";"84.51";"A"
"2003-11";"82.92";"A"
"2003-10";"85.25";"A"
"2003-09";"90.78";"A"
"2003-08";"92.27";"A"
"2003-07";"90.47";"A"
